D	ix	dance	full_title	count	title	opus	no	path
365	34	walzer	36 Erste Walzer op. 9 D 365	36	Erste Walzer	op. 9	35	365/D365walzer35.mscx
365	35	walzer	36 Erste Walzer op. 9 D 365	36	Erste Walzer	op. 9	36	365/D365walzer36.mscx
366	0	ländler	17 Ländler D 366	17	Ländler		1	366/D366ländler01.mscx
366	1	ländler	17 Ländler D 366	17	Ländler		2	366/D366ländler02.mscx
366	2	ländler	17 Ländler D 366	17	Ländler		3	366/D366ländler03.mscx
366	3	ländler	17 Ländler D 366	17	Ländler		4	366/D366ländler04.mscx
366	4	ländler	17 Ländler D 366	17	Ländler		5	366/D366ländler05.mscx
366	5	ländler	17 Ländler D 366	17	Ländler		6	366/D366ländler06.mscx
366	6	ländler	17 Ländler D 366	17	Ländler		7	366/D366ländler07.mscx
366	7	ländler	17 Ländler D 366	17	Ländler		8	366/D366ländler08.mscx
366	8	ländler	17 Ländler D 366	17	Ländler		9	366/D366ländler09.mscx
366	9	ländler	17 Ländler D 366	17	Ländler		10	366/D366ländler10.mscx
366	10	ländler	17 Ländler D 366	17	Ländler		11	366/D366ländler11.mscx
366	11	ländler	17 Ländler D 366	17	Ländler		12	366/D366ländler12.mscx
366	12	ländler	17 Ländler D 366	17	Ländler		13	366/D366ländler13.mscx
366	13	ländler	17 Ländler D 366	17	Ländler		14	366/D366ländler14.mscx
366	14	ländler	17 Ländler D 366	17	Ländler		15	366/D366ländler15.mscx
366	15	ländler	17 Ländler D 366	17	Ländler		16	366/D366ländler16.mscx
366	16	ländler	17 Ländler D 366	17	Ländler		17	366/D366ländler17.mscx
378	0	ländler	8 Ländler D 378	8	Ländler		1	378/D378ländler01.mscx
378	1	ländler	8 Ländler D 378	8	Ländler		2	378/D378ländler02.mscx
378	2	ländler	8 Ländler D 378	8	Ländler		3	378/D378ländler03.mscx
378	3	ländler	8 Ländler D 378	8	Ländler		4	378/D378ländler04.mscx
378	4	ländler	8 Ländler D 378	8	Ländler		5	378/D378ländler05.mscx
378	5	ländler	8 Ländler D 378	8	Ländler		6	378/D378ländler06.mscx
378	6	ländler	8 Ländler D 378	8	Ländler		7	378/D378ländler07.mscx
378	7	ländler	8 Ländler D 378	8	Ländler		8	378/D378ländler08.mscx
380	0	menuett	3 Menuette D 380	3	Menuette		1	380/D380menuett01a.mscx
380	0	trioi	2*II Trios D 380	2*II	TrioI		1	380/D380trioI01b.mscx
380	1	menuett	3 Menuette D 380	3	Menuette		2	380/D380menuett02a.mscx
380	1	trioii	2*II Trios D 380	2*II	TrioII		1	380/D380trioII01c.mscx
380	2	menuett	3 Menuette D 380	3	Menuette		3	380/D380menuett03.mscx
380	2	trioi	2*II Trios D 380	2*II	TrioI		2	380/D380trioI02b.mscx
380	3	trioii	2*II Trios D 380	2*II	TrioII		2	380/D380trioII02c.mscx
41	0	menuett	20 Menuette D 41	20	Menuette		1	41/D041menuett01a.mscx
41	0	trio	20 Trios D 41	20	Trios		1	41/D041trio01b.mscx
41	1	menuett	20 Menuette D 41	20	Menuette		2	41/D041menuett02a.mscx
41	1	trio	20 Trios D 41	20	Trios		2	41/D041trio02b.mscx
41	2	menuett	20 Menuette D 41	20	Menuette		3	41/D041menuett03a.mscx
41	2	trio	20 Trios D 41	20	Trios		3	41/D041trio03b.mscx
41	3	menuett	20 Menuette D 41	20	Menuette		4	41/D041menuett04a.mscx
41	3	trio	20 Trios D 41	20	Trios		4	41/D041trio04b.mscx
41	4	menuett	20 Menuette D 41	20	Menuette		5	41/D041menuett05a.mscx
41	4	trio	20 Trios D 41	20	Trios		5	41/D041trio05b.mscx
41	5	menuett	20 Menuette D 41	20	Menuette		6	41/D041menuett06a.mscx
41	5	trio	20 Trios D 41	20	Trios		6	41/D041trio06b.mscx
41	6	menuett	20 Menuette D 41	20	Menuette		7	41/D041menuett07a.mscx
41	6	trio	20 Trios D 41	20	Trios		7	41/D041trio07b.mscx
41	7	menuett	20 Menuette D 41	20	Menuette		8	41/D041menuett08a.mscx
41	7	trio	20 Trios D 41	20	Trios		8	41/D041trio08b.mscx
41	8	menuett	20 Menuette D 41	20	Menuette		9	41/D041menuett09a.mscx
41	8	trio	20 Trios D 41	20	Trios		9	41/D041trio09b.mscx
41	9	menuett	20 Menuette D 41	20	Menuette		10	41/D041menuett10a.mscx
41	9	trio	20 Trios D 41	20	Trios		10	41/D041trio10b.mscx
41	10	menuett	20 Menuette D 41	20	Menuette		11	41/D041menuett11a.mscx
41	10	trio	20 Trios D 41	20	Trios		11	41/D041trio11b.mscx
41	11	menuett	20 Menuette D 41	20	Menuette		12	41/D041menuett12a.mscx
41	11	trio	20 Trios D 41	20	Trios		12	41/D041trio12b.mscx
41	12	menuett	20 Menuette D 41	20	Menuette		13	41/D041menuett13a.mscx
41	12	trio	20 Trios D 41	20	Trios		13	41/D041trio13b.mscx
41	13	menuett	20 Menuette D 41	20	Menuette		14	41/D041menuett14a.mscx
41	13	trio	20 Trios D 41	20	Trios		14	41/D041trio14b.mscx
41	14	menuett	20 Menuette D 41	20	Menuette		15	41/D041menuett15a.mscx
41	14	trio	20 Trios D 41	20	Trios		15	41/D041trio15b.mscx
41	15	menuett	20 Menuette D 41	20	Menuette		16	41/D041menuett16a.mscx
41	15	trio	20 Trios D 41	20	Trios		16	41/D041trio16b.mscx
41	16	menuett	20 Menuette D 41	20	Menuette		17	41/D041menuett17a.mscx
41	16	trio	20 Trios D 41	20	Trios		17	41/D041trio17b.mscx
