id	D	no	dance	path
311	779	20	walzer	D779walzer20.mscx
312	779	21	walzer	D779walzer21.mscx
313	779	22	walzer	D779walzer22.mscx
314	779	23	walzer	D779walzer23.mscx
315	779	24	walzer	D779walzer24.mscx
316	779	25	walzer	D779walzer25.mscx
317	779	26	walzer	D779walzer26.mscx
318	779	27	walzer	D779walzer27.mscx
319	779	28	walzer	D779walzer28.mscx
320	779	29	walzer	D779walzer29.mscx
321	779	30	walzer	D779walzer30.mscx
322	779	31	walzer	D779walzer31.mscx
323	779	32	walzer	D779walzer32.mscx
324	779	33	walzer	D779walzer33.mscx
325	779	34	walzer	D779walzer34.mscx
326	781	1	ecossaise	D781ecossaise01.mscx
327	781	2	ecossaise	D781ecossaise02.mscx
328	781	3	ecossaise	D781ecossaise03.mscx
329	781	4	ecossaise	D781ecossaise04.mscx
330	781	5	ecossaise	D781ecossaise05.mscx
331	781	6	ecossaise	D781ecossaise06.mscx
332	781	7	ecossaise	D781ecossaise07.mscx
333	781	8	ecossaise	D781ecossaise08.mscx
334	781	9	ecossaise	D781ecossaise09.mscx
335	781	10	ecossaise	D781ecossaise10.mscx
336	781	11	ecossaise	D781ecossaise11.mscx
337	782	1	ecossaise	D782ecossaise01.mscx
338	783	1	deutscher	D783deutscher01.mscx
339	783	2	deutscher	D783deutscher02.mscx
340	783	3	deutscher	D783deutscher03.mscx
341	783	4	deutscher	D783deutscher04.mscx
342	783	5	deutscher	D783deutscher05.mscx
343	783	6	deutscher	D783deutscher06.mscx
344	783	7	deutscher	D783deutscher07.mscx
345	783	8	deutscher	D783deutscher08.mscx
346	783	9	deutscher	D783deutscher09.mscx
347	783	10	deutscher	D783deutscher10.mscx
348	783	11	deutscher	D783deutscher11.mscx
349	783	12	deutscher	D783deutscher12.mscx
350	783	13	deutscher	D783deutscher13.mscx
351	783	14	deutscher	D783deutscher14.mscx
352	783	15	deutscher	D783deutscher15.mscx
353	783	16	deutscher	D783deutscher16.mscx
354	783	1	ecossaise	D783ecossaise01.mscx
355	783	2	ecossaise	D783ecossaise02.mscx
356	790	1	ländler	D790ländler01.mscx
357	790	3	ländler	D790ländler03.mscx
358	790	4	ländler	D790ländler04.mscx
359	790	5	ländler	D790ländler05.mscx
360	790	6	ländler	D790ländler06.mscx
361	790	7	ländler	D790ländler07.mscx
362	790	8	ländler	D790ländler08.mscx
363	790	9	ländler	D790ländler09.mscx
364	790	10	ländler	D790ländler10.mscx
365	790	11	ländler	D790ländler11.mscx
366	790	12	ländler	D790ländler12.mscx
367	816	1	ecossaise	D816ecossaise01.mscx
368	816	2	ecossaise	D816ecossaise02.mscx
369	816	3	ecossaise	D816ecossaise03.mscx
370	820	1	deutscher	D820deutscher01.mscx
371	820	2	deutscher	D820deutscher02.mscx
372	820	3	deutscher	D820deutscher03.mscx
373	820	4	deutscher	D820deutscher04.mscx
374	820	5	deutscher	D820deutscher05.mscx
375	820	6	deutscher	D820deutscher06.mscx
376	841	1	deutscher	D841deutscher01.mscx
377	841	2	deutscher	D841deutscher02.mscx
378	844	1	walzer	D844walzer01.mscx
379	924	1	walzer	D924walzer01.mscx
380	924	2	walzer	D924walzer02.mscx
381	924	3	walzer	D924walzer03.mscx
382	924	4	walzer	D924walzer04.mscx
383	924	5	walzer	D924walzer05.mscx
384	924	6	walzer	D924walzer06.mscx
385	924	7	walzer	D924walzer07.mscx
386	924	8	walzer	D924walzer08.mscx
387	924	9	walzer	D924walzer09.mscx
388	924	10	walzer	D924walzer10.mscx
389	924	11	walzer	D924walzer11.mscx
390	924	12	walzer	D924walzer12.mscx
391	925	1	galopp	D925galopp01a.mscx
392	925	1	trio	D925trio01b.mscx
393	969	1	walzer	D969walzer01.mscx
394	969	2	walzer	D969walzer02.mscx
395	969	3	walzer	D969walzer03.mscx
396	969	4	walzer	D969walzer04.mscx
397	969	5	walzer	D969walzer05.mscx
