id,Ta,TaTa,TaTaTa,TaTaTi,TaTaTigitigi,TaTaTimgi,TaTaTimgiri,TaTaTiti,TaTaTitigi,TaTaTriole,TaTaiti,TaTano,TaTao,TaTi,TaTimgiTa,TaTimgiTimgi,TaTimgiTiti,TaTiti,TaTitiTa,TaTitiTi,TaTitiTiti,TaTitigiTigitigi,TaTrioleTa,Tai,Taiti,TaitiTa,TaitiTimgi,TaitiTiti,TaitigiTigitigi,Tanogi,Tao,TaoTa,TaoTigitigi,TaoTimgi,TaoTimgiri,TaoTiti,TaoTriole,Taoa,Taono,TigimTi,TigimTitiTiti,Tigimgim,Tigitigi,TigitigiTa,TigitigiTaTa,TigitigiTi,TigitigiTigitigi,TigitigiTigitigiTigitigi,TigitigiTiti,Timgi,TimgiTa,TimgiTaTa,TimgiTaTigitigi,TimgiTaTimgi,TimgiTaTiti,TimgiTaiti,TimgiTi,TimgiTimgiTimgi,TimgiTiti,TimgiTitiTiti,Timgiri,TimgiriTa,TimgiriTiti,TinotigiTigitigi,Titi,TitiTa,TitiTaTa,TitiTaTi,TitiTaTimgi,TitiTaTiti,TitiTao,TitiTi,TitiTiti,TitiTitiTa,TitiTitiTi,TitiTitiTimgi,TitiTitiTiti,TitiTitino,TitigiTa,TitigiTi,TitigiTigitigi,TitigiTiti,TitigiTitigi,Triole,no,nogiTimgi,nogiTiti
57,0.0625,,0.375,,,,,,,,,,,,,,,,0.0625,,,,,,,,,,,,0.125,0.125,,,,0.25,,0.125,,,,,,,,,,,,0.0625,,,,,,,,,,,,,,,,,,,,,,,,0.0625,,,0.25,,,,,,,,,,
58,,,0.1875,,,,,0.25,,,,,,,,,,,0.0625,,,,,,,,,,,,0.0625,,,,,,,0.1875,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0625,,,,,,,,,,,,0.4375,,,,,,,,,,
59,,,2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125,0.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4375,,,,,,,,,,
61,,,1.125,0.125,,,,0.375,,,,,,,,,,,,,,,,,,,,,,,0.0625,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0625,,,,,,,,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,,,,,,0.25,,,,,0.4375,,,,,,0.625,,,,,,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0625,,,,,,,,,,
63,,,1.625,0.5,,,,,,,,,,,,,,,,,,,,,,,,0.0625,,,0.0625,0.375,,,,0.3125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0625,,,,,,,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3125,,,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.625,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,0.0625,,,,,,,,,,,,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,0.5625,,,,,,,,,,
66,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125,,,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,0.4375,,,,0.625,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,0.3125,,,,,,,0.0625,,,0.25,,,,,,0.5,,,,,,,,,,,,0.0625,0.125,,,,,,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0625,,,0.875,,,,,,,,,,
69,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0625,,,,,,,,,0.125,,,0.875,,,,,,,,0.125,,
70,,,0.4375,,,,,,,,0.0625,,,,,,,,,,,,,,,,,,,,,0.125,,,,,,0.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,0.0625,,0.5625,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0625,0.6875,,,,,,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,0.0625,,0.125,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,1.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0625,,,0.0625,,,,,,,0.0625,,,
73,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6875,,,0.1875,,,,,,,,,,
74,,,0.3125,,,,,0.0625,,,,,,,,,,,,,,,,,,,,,,,0.125,0.1875,,,,,,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.625,,,,,,,0.125,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,,,,,,,0.0625,,,,,,,,,,0.125,0.1875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0625,,,,,,,,,,
76,0.0625,,0.0625,,,0.25,,0.3125,,0.125,,,,,,,,,,,,,,,,,,,,,0.0625,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
