id	segment_id	bass	intervals	onbeat	offbeat	labels	next	next_bass	next_label
320	15	D	('M2', 'M3', 'P4', 'P5', 'm7')	('M3', 'P4', 'P5', 'm7')	('M2', 'M3')	dominant7	(320, 16)	C	major
320	16	C	('M2', 'M3', 'P5', 'M7')	('M2', 'M3', 'P5', 'M7')	('M3', 'P5')	major	(320, 17)	G	dominant7
320	17	G	('M2', 'M3', 'P4', 'P5', 'm7')	('M3', 'P4', 'P5', 'm7')	('M2', 'P4', 'P5')	dominant7	(320, 18)	G	dominant7
320	18	G	('M3', 'm7')	('M3', 'm7')	('M3',)	dominant7	(320, 19)	C	major
320	19	C	('M3', 'P5', 'M6')	('M3', 'P5')	('M3', 'P5', 'M6')	major	(320, 20)	C	major
320	20	C	('M3', 'P4', 'P5', 'M6')	('M3', 'P4', 'P5')	('M6',)	major	(320, 21)	G	dominant7
320	21	G	('M2', 'M3', 'P4', 'P5', 'm7')	('M3', 'P5', 'm7')	('M2', 'P4', 'P5')	dominant7	(320, 22)	G	dominant7
320	22	G	('M2', 'M3', 'P4', 'P5', 'm7')	('M3', 'P4', 'P5', 'm7')	('M2', 'M3')	dominant7	(320, 23)	G	major64
320	23	G	('P4', 'P5', 'M6', 'm7')	('P4', 'M6', 'm7')	('P4', 'P5', 'M6')	major64	(320, 24)	C	major
320	24	C	('M3', 'P5')	('M3', 'P5')	()	major			
321	1	C	('M3', 'P5')	('M3', 'P5')	('M3',)	major	(321, 2)	G	dominant7
321	2	G	('M3', 'P5', 'm7')	('M3', 'P5', 'm7')	()	dominant7	(321, 3)	G	dominant7
321	3	G	('M3', 'm7')	('M3', 'm7')	('m7',)	dominant7	(321, 4)	C	major
321	4	C	('M3', 'P5')	('M3', 'P5')	('P5',)	major	(321, 5)	C	major
321	5	C	('M3', 'P5')	('M3', 'P5')	('M3',)	major	(321, 6)	F	major
321	6	F	('M2', 'M3', 'P5', 'M6', 'M7')	('M3', 'P5', 'M6')	('M2', 'P5', 'M7')	major	(321, 7)	G	dominant7
321	7	G	('M3', 'P4', 'P5', 'M6', 'm7')	('M3', 'P5', 'm7')	('M3', 'P4', 'M6')	dominant7	(321, 8)	C	major
321	8	C	('M3', 'P5')	('M3', 'P5')	('P5',)	major	(321, 9)	C	major
321	9	C	('M3', 'P5')	('M3', 'P5')	()	major	(321, 10)	A	dominant43
321	10	A	('M2', 'm3', 'P4', 'M6', 'm7')	('M2', 'm3', 'P4', 'm7')	('M6',)	dominant43	(321, 11)	A	dominant43
321	11	A	('m3', 'P4', 'M6')	('m3', 'P4', 'M6')	('M6',)	dominant43	(321, 12)	G	dominant7
321	12	G	('M2', 'M3', 'P5', 'm7')	('M2', 'M3', 'P5')	('m7',)	dominant7	(321, 13)	G	dominant7
321	13	G	('M2', 'M3', 'P5', 'm7')	('M3', 'P5', 'm7')	('M2',)	dominant7	(321, 14)	C	major
321	14	C	('M3', 'P5', 'M6', 'M7')	('M3', 'P5', 'M6')	('P5', 'M7')	major	(321, 15)	G	dominant7
321	15	G	('M2', 'M3', 'P5', 'M6', 'm7')	('M2', 'M3', 'P5', 'M6', 'm7')	('M3', 'm7')	dominant7	(321, 16)	C	major
321	16	C	('M3', 'P5')	('M3', 'P5')	()	major			
