id	mc	section	keysig	timesig	duration	act_dur	offset	voices	repeats	volta	barline	numbering_offset	dont_count	mn	next
14	20	1	-1	3/4	3/4	3/4	0	4						19	[21]
14	21	1	-1	3/4	3/4	3/4	0	4						20	[22]
14	22	1	-1	3/4	3/4	3/4	0	4						21	[23]
14	23	1	-1	3/4	3/4	3/4	0	4						22	[24]
14	24	1	-1	3/4	3/4	3/4	0	4						23	[25]
14	25	1	-1	3/4	3/4	1/2	0	4	endRepeat					24	[9]
15	0	0	0	3/4	3/4	1/4	1/2	2	firstMeasure				1	0	[1]
15	1	0	0	3/4	3/4	3/4	0	3						1	[2]
15	2	0	0	3/4	3/4	3/4	0	2						2	[3]
15	3	0	0	3/4	3/4	3/4	0	2						3	[4]
15	4	0	0	3/4	3/4	3/4	0	2						4	[5]
15	5	0	0	3/4	3/4	3/4	0	3						5	[6]
15	6	0	0	3/4	3/4	3/4	0	2						6	[7]
15	7	0	0	3/4	3/4	3/4	0	2						7	[8]
15	8	0	0	3/4	3/4	1/2	0	3	endRepeat					8	[9, 0]
15	9	1	0	3/4	3/4	1/4	1/2	2	startRepeat				1	8	[10]
15	10	1	0	3/4	3/4	3/4	0	2						9	[11]
15	11	1	0	3/4	3/4	3/4	0	2						10	[12]
15	12	1	0	3/4	3/4	3/4	0	2						11	[13]
15	13	1	0	3/4	3/4	3/4	0	2						12	[14]
15	14	1	0	3/4	3/4	3/4	0	3						13	[15]
15	15	1	0	3/4	3/4	3/4	0	2						14	[16]
15	16	1	0	3/4	3/4	3/4	0	2						15	[17]
15	17	1	0	3/4	3/4	1/2	0	3	endRepeat					16	[9]
16	0	0	0	3/4	3/4	1/4	1/2	2	firstMeasure				1	0	[1]
16	1	0	0	3/4	3/4	3/4	0	2						1	[2]
16	2	0	0	3/4	3/4	3/4	0	2						2	[3]
16	3	0	0	3/4	3/4	3/4	0	2						3	[4]
16	4	0	0	3/4	3/4	3/4	0	2						4	[5]
16	5	0	0	3/4	3/4	3/4	0	2						5	[6]
16	6	0	0	3/4	3/4	3/4	0	2						6	[7]
16	7	0	0	3/4	3/4	3/4	0	2						7	[8]
16	8	0	0	3/4	3/4	1/2	0	2	endRepeat					8	[9, 0]
16	9	1	0	3/4	3/4	1/4	1/2	2	startRepeat		start-repeat		1	8	[10]
16	10	1	0	3/4	3/4	3/4	0	4						9	[11]
16	11	1	0	3/4	3/4	3/4	0	4						10	[12]
16	12	1	0	3/4	3/4	3/4	0	2						11	[13]
16	13	1	0	3/4	3/4	3/4	0	2						12	[14]
16	14	1	0	3/4	3/4	3/4	0	2						13	[15]
16	15	1	0	3/4	3/4	3/4	0	2						14	[16]
16	16	1	0	3/4	3/4	3/4	0	2						15	[17]
16	17	1	0	3/4	3/4	1/2	0	2	endRepeat					16	[9]
17	0	0	-1	3/4	3/4	1/4	1/2	2	firstMeasure				1	0	[1]
17	1	0	-1	3/4	3/4	3/4	0	2						1	[2]
17	2	0	-1	3/4	3/4	3/4	0	2						2	[3]
17	3	0	-1	3/4	3/4	3/4	0	2						3	[4]
17	4	0	-1	3/4	3/4	3/4	0	2						4	[5]
17	5	0	-1	3/4	3/4	3/4	0	3						5	[6]
17	6	0	-1	3/4	3/4	3/4	0	3						6	[7]
17	7	0	-1	3/4	3/4	3/4	0	2						7	[8]
17	8	0	-1	3/4	3/4	1/2	0	2	endRepeat					8	[9, 0]
17	9	1	-1	3/4	3/4	1/4	1/2	2	startRepeat				1	8	[10]
17	10	1	-1	3/4	3/4	3/4	0	2						9	[11]
17	11	1	-1	3/4	3/4	3/4	0	3						10	[12]
17	12	1	-1	3/4	3/4	3/4	0	3						11	[13]
17	13	1	-1	3/4	3/4	3/4	0	3						12	[14]
17	14	1	-1	3/4	3/4	3/4	0	2						13	[15]
17	15	1	-1	3/4	3/4	3/4	0	2						14	[16]
17	16	1	-1	3/4	3/4	3/4	0	2						15	[17]
17	17	1	-1	3/4	3/4	3/4	0	2						16	[18]
17	18	1	-1	3/4	3/4	3/4	0	2						17	[19]
17	19	1	-1	3/4	3/4	3/4	0	2						18	[20]
17	20	1	-1	3/4	3/4	3/4	0	2						19	[21]
17	21	1	-1	3/4	3/4	1/2	0	2	endRepeat					20	[9]
18	0	0	-1	3/4	3/4	1/4	1/2	2	firstMeasure				1	0	[1]
18	1	0	-1	3/4	3/4	3/4	0	2						1	[2]
18	2	0	-1	3/4	3/4	3/4	0	2						2	[3]
18	3	0	-1	3/4	3/4	3/4	0	2						3	[4]
18	4	0	-1	3/4	3/4	3/4	0	2						4	[5]
18	5	0	-1	3/4	3/4	3/4	0	2						5	[6]
18	6	0	-1	3/4	3/4	3/4	0	2						6	[7]
18	7	0	-1	3/4	3/4	3/4	0	2						7	[8]
18	8	0	-1	3/4	3/4	3/4	0	2						8	[9]
18	9	0	-1	3/4	3/4	3/4	0	2						9	[10]
18	10	0	-1	3/4	3/4	3/4	0	2						10	[11]
18	11	0	-1	3/4	3/4	3/4	0	2						11	[12]
18	12	0	-1	3/4	3/4	1/2	0	2			double			12	[13]
18	13	1	-1	3/4	3/4	1/4	1/2	2					1	12	[14]
18	14	1	-1	3/4	3/4	3/4	0	2						13	[15]
