rel_paths	fnames	last_mc	last_mn	KeySig	TimeSig	label_count	composer	workTitle	movementNumber	movementTitle	workNumber	poet	lyricist	arranger	copyright	creationDate	platform	source	translator	musescore	ambitus	originalFormat	staff_1_ambitus	staff_1_instrument	staff_2_ambitus	staff_2_instrument
MS3	D145ländler14	16	16	1: 2	1: 3/4	0	Franz Schubert	Menuett Nr. 1								2019-08-01	Linux			3.3.0	45-95 (A2-B6)		73-95 (C#5-B6)	Piano	45-67 (A2-G4)	Piano
MS3	D145ländler15	16	16	1: 1	1: 3/4	0	Franz Schubert	Menuett Nr. 1								2019-08-01	Linux			3.3.0	38-86 (D2-D6)		62-86 (D4-D6)	Piano	38-67 (D2-G4)	Piano
MS3	D145ländler16	16	16	1: 1	1: 3/4	0	Franz Schubert	Menuett Nr. 1								2019-08-01	Linux			3.3.0	50-88 (D3-E6)		71-88 (B4-E6)	Piano	50-72 (D3-C5)	Piano
MS3	D145ländler17	16	16	1: 2	1: 3/4	0	Franz Schubert	Menuett Nr. 1								2019-08-01	Linux			3.3.0	43-95 (G2-B6)		66-95 (F#4-B6)	Piano	43-67 (G2-G4)	Piano
MS3	D145walzer01	34	32	1: 4	1: 3/4	0	Franz Schubert	Menuett Nr. 1								2019-08-01	Linux			3.3.0	32-95 (G#1-B6)		58-95 (A#3-B6)	Piano	32-69 (G#1-A4)	Piano
MS3	D145walzer02	24	24	1: 5	1: 3/4	0	Franz Schubert	Menuett Nr. 1								2019-08-01	Linux			3.3.0	42-80 (F#2-G#5)		63-80 (D#4-G#5)	Piano	42-63 (F#2-D#4)	Piano
MS3	D145walzer03	50	48	1: 0, 35: 3	1: 3/4	0	Franz Schubert	Menuett Nr. 1								2019-08-01	Linux			3.3.0	28-96 (E1-C7)		56-96 (G#3-C7)	Piano	28-65 (E1-F4)	Piano
MS3	D145walzer04	17	16	1: 4	1: 3/4	0	Franz Schubert	Menuett Nr. 1								2019-08-01	Linux			3.3.0	32-92 (G#1-G#6)		64-92 (E4-G#6)	Piano	32-66 (G#1-F#4)	Piano
MS3	D145walzer05	16	16	1: 1	1: 3/4	0	Franz Schubert	Menuett Nr. 1								2019-08-01	Linux			3.3.0	47-91 (B2-G6)		67-91 (G4-G6)	Piano	47-69 (B2-A4)	Piano
MS3	D145walzer06	33	32	1: 2	1: 3/4	0	Franz Schubert	Waltz in b minor			Op. 18 (D.145)				Public Domain (PianoXML typeset)	2019-08-09	Linux	http://musescore.com/user/9292486/scores/5375226		3.3.0	42-87 (F#2-D#6)	mxl	70-87 (A#4-D#6)	Piano	42-64 (F#2-E4)	Piano
MS3	D145walzer07	24	24	1: -3	1: 3/4	0	Franz Schubert	Menuett Nr. 1								2019-08-01	Linux			3.3.0	48-94 (C3-Bb6)		65-94 (F4-Bb6)	Piano	48-68 (C3-Ab4)	Piano
MS3	D145walzer08	16	16	1: -6	1: 3/4	0	Franz Schubert	Menuett Nr. 1								2019-08-01	Linux			3.3.0	37-85 (Db2-Db6)		61-85 (Db4-Db6)	Piano	37-71 (Db2-Cb5)	Piano
MS3	D145walzer09	26	24	1: 3	1: 3/4	0	Franz Schubert	Menuett Nr. 1								2019-08-01	Linux			3.3.0	42-90 (F#2-F#6)		42-90 (F#2-F#6)	Piano	49-76 (C#3-E5)	Piano
MS3	D145walzer10	16	16	1: 2	1: 3/4	0	Franz Schubert	Menuett Nr. 1								2019-08-01	Linux			3.3.0	45-78 (A2-F#5)		57-78 (A3-F#5)	Piano	45-60 (A2-C4)	Piano
MS3	D145walzer11	26	24	1: 5	1: 3/4	0	Franz Schubert	Walzer Nr. 11								2019-07-17	Linux			3.3.0	36-90 (B#1-F#6)		58-90 (A#3-F#6)	Piano	36-64 (B#1-E4)	Piano
MS3	D145walzer12	34	32	1: 4	1: 3/4	0	Franz Schubert	Menuett Nr. 1								2019-08-01	Linux			3.3.0	28-95 (E1-B6)		63-95 (D#4-B6)	Piano	28-64 (E1-E4)	Piano
MS3	D146alternative_trio03b	26	24	1: 4	1: 3/4	0	Franz Schubert	Menuett Nr. 1								2019-08-01	Linux			3.3.0	35-90 (B1-F#6)		59-90 (B3-F#6)	Piano	35-76 (B1-E5)	Piano
MS3	D146trio01b	26	24	1: 1	1: 3/4	0	Franz Schubert	Menuett Nr. 1								2019-08-01	Linux			3.3.0	43-86 (G2-D6)		43-86 (G2-D6)	Piano	48-71 (C3-B4)	Piano
MS3	D146trio03b	30	26	1: 3	1: 3/4	0	Franz Schubert	Menuett Nr. 1								2019-08-01	Linux			3.3.0	28-86 (E1-D6)		52-86 (E3-D6)	Piano	28-64 (E1-E4)	Piano
MS3	D146trio04b	26	24	1: 3	1: 3/4	0	Franz Schubert	Menuett Nr. 1								2019-08-01	Linux			3.3.0	40-90 (E2-F#6)		64-90 (E4-F#6)	Piano	40-66 (E2-F#4)	Piano
MS3	D146trio05b	46	44	1: -4	1: 3/4	0	Franz Schubert	Menuett Nr. 1								2019-08-01	Linux			3.3.0	44-89 (Ab2-F6)		60-89 (C4-F6)	Piano	44-75 (Ab2-Eb5)	Piano
MS3	D146trio06b	26	24	1: 2	1: 3/4	0	Franz Schubert	Menuett Nr. 1								2019-08-01	Linux			3.3.0	31-88 (G1-E6)		56-88 (G#3-E6)	Piano	31-64 (G1-E4)	Piano
MS3	D146trio07b	26	24	1: 1	1: 3/4	0	Franz Schubert	Menuett Nr. 1								2019-08-01	Linux			3.3.0	48-88 (C3-E6)		62-88 (D4-E6)	Piano	48-67 (C3-G4)	Piano
MS3	D146trio08b	26	24	1: 2	1: 3/4	0	Franz Schubert	Menuett Nr. 1								2019-08-01	Linux			3.3.0	47-86 (B2-D6)		62-86 (D4-D6)	Piano	47-62 (B2-D4)	Piano
MS3	D146trio09b	18	16	1: 0	1: 3/4	0	Franz Schubert	Menuett Nr. 1								2019-08-01	Linux			3.3.0	48-76 (C3-E5)		64-76 (E4-E5)	Piano	48-60 (C3-C4)	Piano
MS3	D146trio10b	26	24	1: -2	1: 3/4	0	Franz Schubert	Menuett Nr. 1								2019-08-01	Linux			3.3.0	53-89 (F3-F6)		70-89 (Bb4-F6)	Piano	53-71 (F3-Cb5)	Piano
MS3	D146trio11b	30	28	1: -2	1: 3/4	0	Franz Schubert	Menuett Nr. 1								2019-08-01	Linux			3.3.0	34-89 (Bb1-F6)		34-89 (Bb1-F6)	Piano	48-67 (C3-G4)	Piano
MS3	D146trio20b	26	24	1: 1	1: 3/4	0	Franz Schubert	Menuett Nr. 1								2019-08-01	Linux			3.3.0	45-84 (A2-C6)		66-84 (F#4-C6)	Piano	45-69 (A2-A4)	Piano
MS3	D146walzer01a	26	24	1: 2	1: 3/4	0	Franz Schubert	Menuett Nr. 1								2019-08-01	Linux			3.3.0	38-86 (D2-D6)		50-86 (D3-D6)	Piano	38-59 (D2-B3)	Piano
MS3	D146walzer02	18	16	1: 3	1: 3/4	0	Franz Schubert	Menuett Nr. 1								2019-08-01	Linux			3.3.0	33-88 (A1-E6)		66-88 (F#4-E6)	Piano	33-71 (A1-B4)	Piano
MS3	D146walzer03a	26	24	1: 4	1: 3/4	0	Franz Schubert	Menuett Nr. 1								2019-08-01	Linux			3.3.0	32-88 (G#1-E6)		63-88 (D#4-E6)	Piano	32-69 (G#1-A4)	Piano
MS3	D146walzer04a	42	40	1: 3	1: 3/4	0	Franz Schubert	Menuett Nr. 1								2019-08-01	Linux			3.3.0	30-88 (F#1-E6)		61-88 (C#4-E6)	Piano	30-62 (F#1-D4)	Piano
MS3	D146walzer05a	46	44	1: -1	1: 3/4	0	Franz Schubert	Menuett Nr. 1								2019-08-01	Linux			3.3.0	29-93 (F1-A6)		53-93 (F3-A6)	Piano	29-77 (F1-F5)	Piano
